"Group" "Gene.set" "Gene"
"1" "Cellular process, DNA replication and repair" "Cell cycle" "ABL1"
"2" "Cellular process, DNA replication and repair" "Cell cycle" "ANAPC1"
"3" "Cellular process, DNA replication and repair" "Cell cycle" "ANAPC10"
"4" "Cellular process, DNA replication and repair" "Cell cycle" "ANAPC11"
"5" "Cellular process, DNA replication and repair" "Cell cycle" "ANAPC13"
"6" "Cellular process, DNA replication and repair" "Cell cycle" "ANAPC2"
"7" "Cellular process, DNA replication and repair" "Cell cycle" "ANAPC4"
"8" "Cellular process, DNA replication and repair" "Cell cycle" "ANAPC5"
"9" "Cellular process, DNA replication and repair" "Cell cycle" "ANAPC7"
"10" "Cellular process, DNA replication and repair" "Cell cycle" "ATM"
"11" "Cellular process, DNA replication and repair" "Cell cycle" "ATR"
"12" "Cellular process, DNA replication and repair" "Cell cycle" "BUB1"
"13" "Cellular process, DNA replication and repair" "Cell cycle" "BUB1B"
"14" "Cellular process, DNA replication and repair" "Cell cycle" "BUB3"
"15" "Cellular process, DNA replication and repair" "Cell cycle" "CCNA1"
"16" "Cellular process, DNA replication and repair" "Cell cycle" "CCNA2"
"17" "Cellular process, DNA replication and repair" "Cell cycle" "CCNB1"
"18" "Cellular process, DNA replication and repair" "Cell cycle" "CCNB2"
"19" "Cellular process, DNA replication and repair" "Cell cycle" "CCNB3"
"20" "Cellular process, DNA replication and repair" "Cell cycle" "CCND1"
"21" "Cellular process, DNA replication and repair" "Cell cycle" "CCND2"
"22" "Cellular process, DNA replication and repair" "Cell cycle" "CCND3"
"23" "Cellular process, DNA replication and repair" "Cell cycle" "CCNE1"
"24" "Cellular process, DNA replication and repair" "Cell cycle" "CCNE2"
"25" "Cellular process, DNA replication and repair" "Cell cycle" "CCNH"
"26" "Cellular process, DNA replication and repair" "Cell cycle" "CDC14A"
"27" "Cellular process, DNA replication and repair" "Cell cycle" "CDC14B"
"28" "Cellular process, DNA replication and repair" "Cell cycle" "CDC16"
"29" "Cellular process, DNA replication and repair" "Cell cycle" "CDC20"
"30" "Cellular process, DNA replication and repair" "Cell cycle" "CDC23"
"31" "Cellular process, DNA replication and repair" "Cell cycle" "CDC25A"
"32" "Cellular process, DNA replication and repair" "Cell cycle" "CDC25B"
"33" "Cellular process, DNA replication and repair" "Cell cycle" "CDC25C"
"34" "Cellular process, DNA replication and repair" "Cell cycle" "CDC26"
"35" "Cellular process, DNA replication and repair" "Cell cycle" "CDC27"
"36" "Cellular process, DNA replication and repair" "Cell cycle" "CDC45"
"37" "Cellular process, DNA replication and repair" "Cell cycle" "CDC6"
"38" "Cellular process, DNA replication and repair" "Cell cycle" "CDC7"
"39" "Cellular process, DNA replication and repair" "Cell cycle" "CDK1"
"40" "Cellular process, DNA replication and repair" "Cell cycle" "CDK2"
"41" "Cellular process, DNA replication and repair" "Cell cycle" "CDK4"
"42" "Cellular process, DNA replication and repair" "Cell cycle" "CDK6"
"43" "Cellular process, DNA replication and repair" "Cell cycle" "CDK7"
"44" "Cellular process, DNA replication and repair" "Cell cycle" "CDKN1A"
"45" "Cellular process, DNA replication and repair" "Cell cycle" "CDKN1B"
"46" "Cellular process, DNA replication and repair" "Cell cycle" "CDKN1C"
"47" "Cellular process, DNA replication and repair" "Cell cycle" "CDKN2A"
"48" "Cellular process, DNA replication and repair" "Cell cycle" "CDKN2B"
"49" "Cellular process, DNA replication and repair" "Cell cycle" "CDKN2C"
"50" "Cellular process, DNA replication and repair" "Cell cycle" "CDKN2D"
"51" "Cellular process, DNA replication and repair" "Cell cycle" "CHEK1"
"52" "Cellular process, DNA replication and repair" "Cell cycle" "CHEK2"
"53" "Cellular process, DNA replication and repair" "Cell cycle" "CREBBP"
"54" "Cellular process, DNA replication and repair" "Cell cycle" "CUL1"
"55" "Cellular process, DNA replication and repair" "Cell cycle" "DBF4"
"56" "Cellular process, DNA replication and repair" "Cell cycle" "E2F1"
"57" "Cellular process, DNA replication and repair" "Cell cycle" "E2F2"
"58" "Cellular process, DNA replication and repair" "Cell cycle" "E2F3"
"59" "Cellular process, DNA replication and repair" "Cell cycle" "E2F4"
"60" "Cellular process, DNA replication and repair" "Cell cycle" "E2F5"
